Date,Type,category_name,Amount,Currency,Note,Labels,date_format,amount
2021-11-11T21:02:30+00:00,Expense,Shopping,-24.6540164,USD,Kenko UV FILTER 67MM,photography ,2021-11,24.6540164
2023-12-22T03:03:38+00:00,Expense,Gifts,-50.0,USD,Vino matrimonio julu montelig,,2023-12,50.0
2023-12-25T13:09:10+00:00,Expense,Restaurant,-13.11990168,USD,,,2023-12,13.11990168
2023-12-25T13:09:49+00:00,Expense,Shopping,-15.30655196,USD,Almohada avipm cuello ,,2023-12,15.30655196
2023-12-25T13:10:07+00:00,Expense,Coffee,-2.95197788,USD,,,2023-12,2.95197788
2023-12-25T13:10:35+00:00,Expense,Restaurant,-12.02657654,USD,Frankfurt airport sandwich,,2023-12,12.02657654
2023-12-26T13:07:37+00:00,Expense,Utilities,-11.68770452,USD,Sim card,,2023-12,11.68770452
2023-12-26T13:08:20+00:00,Expense,Transport,-0.7791803,USD,,,2023-12,0.7791803
2023-12-27T02:33:28+00:00,Expense,Transport,-21.4742,USD,Airport taxi to hotel,,2023-12,21.4742
2023-12-27T03:55:05+00:00,Expense,Acommodation,-36.5793475,USD,3 nights Hotel White Rose,,2023-12,36.5793475
2023-12-27T04:40:39+00:00,Expense,Flights,-8.540875,USD,Sim card india,,2023-12,8.540875
2023-12-27T04:41:13+00:00,Expense,Shopping,-7.32075,USD,Usb x2 charger,,2023-12,7.32075
2023-12-27T06:23:17+00:00,Expense,Shopping,-18.301875,USD,Sunglasses blue,,2023-12,18.301875
2023-12-27T06:27:39+00:00,Expense,Flights,-30.0,USD,Currency excgange,,2023-12,30.0
2023-12-27T10:03:15+00:00,Expense,Restaurant,-7.01262271,USD,Burrito ,,2023-12,7.01262271
2023-12-27T10:04:14+00:00,Expense,Shopping,-51.9453534,USD,Anker outlet travel,,2023-12,51.9453534
2023-12-27T16:06:22+00:00,Expense,Restaurant,-4.74628625,USD,,,2023-12,4.74628625
2023-12-27T16:20:03+00:00,Expense,Coffee,-0.6100625,USD,,,2023-12,0.6100625
2023-12-28T04:39:30+00:00,Expense,Shopping,-20.742125,USD,Kurta,,2023-12,20.742125
2023-12-28T05:12:44+00:00,Expense,Activities,-4.2704375,USD,Tour tuk tuk yoyo - 50 propina happy money,,2023-12,4.2704375
2023-12-28T09:59:46+00:00,Expense,Restaurant,-5.2465375,USD,,,2023-12,5.2465375
2023-12-29T13:04:57+00:00,Expense,Pharmacy ,-13.6409975,USD,Skin care,,2023-12,13.6409975
2023-12-29T13:06:07+00:00,Expense,Restaurant,-14.495085,USD,Fort house kochi with hillary,dinner,2023-12,14.495085
2023-12-30T09:49:06+00:00,Expense,Restaurant,-4.47785875,USD,Qissa cafe,,2023-12,4.47785875
2023-12-30T09:49:33+00:00,Expense,Restaurant,-6.100625,USD,,,2023-12,6.100625
2023-12-30T09:50:41+00:00,Expense,Acommodation,-24.4025,USD,Hote white rose 1 night,,2023-12,24.4025
2023-12-31T09:01:40+00:00,Expense,Acommodation,-24.4025,USD,Hotel white rose kochi 1 night,,2023-12,24.4025
2023-12-31T09:45:43+00:00,Expense,Restaurant,-8.4188625,USD,Tibetan kitchen ,,2023-12,8.4188625
2023-12-31T09:46:13+00:00,Expense,Coffee,-2.0742125,USD,,,2023-12,2.0742125
2023-12-31T09:46:28+00:00,Expense,Transport,-9.1509375,USD,,,2023-12,9.1509375
2023-12-31T09:47:03+00:00,Expense,Restaurant,-5.612575,USD,Trouvaille,,2023-12,5.612575
2023-12-31T09:47:28+00:00,Expense,Transport,-6.45446125,USD,,,2023-12,6.45446125
2024-01-01T03:18:44+00:00,Expense,Flights,-52.0,USD,Sri lanka visa,visa,2024-01,52.0
2024-01-01T09:00:43+00:00,Expense,Restaurant,-8.1748375,USD,Teapot,,2024-01,8.1748375
2024-01-01T11:02:41+00:00,Expense,Transport,-18.009045,USD,Airport kochi,taxi,2024-01,18.009045
2024-01-01T11:06:10+00:00,Expense,Utilities,-8.003562,USD,Sim card dialogo 1 month,,2024-01,8.003562
2024-01-01T12:42:10+00:00,Expense,Coffee,-2.74528125,USD,,,2024-01,2.74528125
2024-01-01T12:43:06+00:00,Expense,Restaurant,-6.7106875,USD,Turney sandwich airport ,,2024-01,6.7106875
2024-01-02T06:33:53+00:00,Expense,Gifts,-1.08783108,USD,Test ,,2024-01,1.08783108
2024-01-02T06:55:24+00:00,Expense,Subscriptions,-21.2488833,USD,Tinder 1 month,,2024-01,21.2488833
2024-01-02T07:23:37+00:00,Expense,Transport,-1.63338,USD,,,2024-01,1.63338
2024-01-02T08:53:00+00:00,Expense,Transport,-4.7041344,USD,Negombo Matamara,bus,2024-01,4.7041344
2024-01-02T08:58:41+00:00,Expense,Acommodation,-12.740364,USD,Marine hostel negombo,,2024-01,12.740364
2024-01-02T08:59:04+00:00,Expense,Restaurant,-3.593436,USD,,,2024-01,3.593436
2024-01-02T11:03:29+00:00,Expense,Transport,-0.326676,USD,Bus matara weligama ,,2024-01,0.326676
2024-01-02T12:29:51+00:00,Expense,Restaurant,-11.106984,USD,Hangtime restaurant ,,2024-01,11.106984
2024-01-02T12:35:17+00:00,Expense,Acommodation,-45.73464,USD,hangtime hostel 4 nights,,2024-01,45.73464
2024-01-02T12:36:23+00:00,Expense,Coffee,-2.74528125,USD,,,2024-01,2.74528125
2024-01-02T14:39:21+00:00,Expense,Groceries,-1.6823814,USD,,,2024-01,1.6823814
2024-01-03T04:44:49+00:00,Expense,Sport,-6.53352,USD,Yoga antonella,yoga,2024-01,6.53352
2024-01-03T06:24:24+00:00,Expense,Restaurant,-14.70042,USD,Breakfast,,2024-01,14.70042
2024-01-03T13:09:15+00:00,Expense,Sport,-1.63338,USD,Surf 1.5 hours,,2024-01,1.63338
2024-01-03T13:20:54+00:00,Expense,Activities,-1.63338,USD,Doctor house party hostel,,2024-01,1.63338
2024-01-03T15:52:50+00:00,Expense,Alcohol,-6.860196,USD,3 beers,,2024-01,6.860196
2024-01-03T15:53:04+00:00,Expense,Transport,-3.26676,USD,,,2024-01,3.26676
2024-01-03T18:25:02+00:00,Expense,Transport,-4.90014,USD,,,2024-01,4.90014
2024-01-03T18:25:27+00:00,Expense,Restaurant,-14.70042,USD,Egg kotti and dessert,,2024-01,14.70042
2024-01-04T00:57:46+00:00,Expense,Activities,-55.53492,USD,Whale watching mirissa,,2024-01,55.53492
2024-01-04T09:39:43+00:00,Expense,Restaurant,-10.126956,USD,,,2024-01,10.126956
2024-01-04T12:32:23+00:00,Expense,Coffee,-3.593436,USD,Nomad cafe,,2024-01,3.593436
2024-01-04T12:56:13+00:00,Expense,Groceries,-1.63338,USD,,,2024-01,1.63338
2024-01-04T12:56:24+00:00,Expense,Personal Care,-1.960056,USD,Laundry ,,2024-01,1.960056
2024-01-04T13:34:18+00:00,Expense,Groceries,-11.43366,USD,Cachey hand sanitizer ,,2024-01,11.43366
2024-01-04T13:39:37+00:00,Expense,Restaurant,-5.1288132,USD,,,2024-01,5.1288132
2024-01-05T04:32:10+00:00,Expense,Sport,-6.53352,USD,Yoga,yoga,2024-01,6.53352
2024-01-05T10:34:56+00:00,Expense,Restaurant,-7.5462156,USD,Fish kotti papaya juice,,2024-01,7.5462156
2024-01-05T13:32:55+00:00,Expense,Coffee,-1.63338,USD,,,2024-01,1.63338
2024-01-06T04:32:22+00:00,Expense,Activities,-6.53352,USD,Yoga,,2024-01,6.53352
2024-01-06T06:02:42+00:00,Expense,Transport,-2.3520672,USD,,,2024-01,2.3520672
